City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
382,ishigaki,24.3448,124.1572,293.22,68,75,6.69,JP,1710073648
383,constitucion,-35.3333,-72.4167,287.78,60,80,1.4,CL,1710073648
384,golfito,8.639,-83.166,296.37,92,47,1.49,CR,1710073648
385,vangaindrano,-23.35,47.6,300.22,80,97,3.88,MG,1710073648
386,bonny,4.4522,7.1681,303.6,67,96,3.39,NG,1710073648
387,peace river,56.2501,-117.286,270.32,93,20,2.57,CA,1710073566
388,itigi,-5.7,34.4833,297.6,80,45,2.65,TZ,1710073648
389,al jawf,29.5,38.75,295.82,16,1,2.26,SA,1710073648
390,naze,28.3667,129.4833,282.66,58,7,2.59,JP,1710073648
391,gaspe,48.8334,-64.4819,272.1,93,75,6.17,CA,1710073648
392,mermoz boabab,14.7065,-17.4758,301.46,73,0,8.23,SN,1710073648
393,prince rupert,54.3161,-130.3201,277.98,100,100,4.12,CA,1710073648
394,constantia,44.1833,28.65,287.53,66,63,7.35,RO,1710073649
395,kuanda,56.3161,116.0806,260.86,89,94,0.66,RU,1710073649
396,luau,-10.7073,22.2247,296.49,77,98,0.89,AO,1710073649
397,saurimo,-9.6608,20.3916,299.95,67,96,1.88,AO,1710073649
398,bardai,11.65,7.2333,310.92,8,82,4.29,NG,1710073649
399,dole,47.0833,5.5,281.75,87,100,3.6,FR,1710073649
400,bafra,41.5678,35.9069,281.6,68,83,3.15,TR,1710073649
401,tynda,55.1667,124.7167,254.16,92,72,1.33,RU,1710073649
402,korhogo,9.45,-5.6333,313.58,25,95,0.49,CI,1710073649
403,zhengjiatun,43.5064,123.5064,275.73,48,80,2.34,CN,1710073649
404,talcahuano,-36.7167,-73.1167,285.97,76,0,2.06,CL,1710073549
405,yurty,56.0498,97.6348,270.15,93,69,2.14,RU,1710073649
406,walvis bay,-22.9575,14.5053,293.76,65,67,4.96,NA,1710073649
407,cacule,-14.5033,-42.2222,299.89,66,69,2.07,BR,1710073649
408,arawa,-6.2132,155.5367,299.47,91,100,1.17,PG,1710073649
409,kiunga,-6.1219,141.2906,297.99,99,100,1.32,PG,1710073649
410,sujiatun,41.6592,123.3392,278.25,52,75,2.0,CN,1710073650
411,puerto deseado,-47.7503,-65.8938,287.59,50,38,10.83,AR,1710073650
412,kovalam,8.3667,76.9967,305.2,62,20,2.57,IN,1710073650
413,afaahiti,-17.75,-149.2833,298.08,86,100,5.31,PF,1710073650
414,mkushi,-13.6202,29.3939,300.04,59,80,2.01,ZM,1710073650
415,arilje,43.7531,20.0956,291.35,34,82,4.65,RS,1710073650
416,mobaye,4.319,21.1786,314.67,17,49,1.87,CF,1710073650
417,alta,69.9689,23.2717,276.74,80,75,6.17,NO,1710073581
418,gao,16.6362,1.637,311.62,6,65,5.05,ML,1710073650
419,krutinka,56.0055,71.5113,266.57,91,100,2.68,RU,1710073650
420,andirin,37.5776,36.3549,282.94,45,34,0.94,TR,1710073650
421,veinticinco de mayo,-35.4323,-60.1727,294.25,80,0,3.13,AR,1710073650
422,mossel bay,-34.1831,22.146,296.11,72,0,3.58,ZA,1710073650
423,genhe,50.7833,121.5167,258.35,99,92,1.0,CN,1710073650
424,"laikit, laikit ii (dimembe)",1.4792,124.9735,295.62,94,20,0.51,ID,1710073651
425,holualoa,19.6228,-155.9522,295.06,95,100,5.66,US,1710073651
426,ta`u,-14.2336,-169.5144,301.36,81,99,4.27,AS,1710073651
427,glubokoye,50.1456,82.3114,277.01,70,75,5.0,KZ,1710073651
428,guanica,17.9716,-66.908,300.36,58,13,1.92,PR,1710073651
429,flying fish cove,-10.4217,105.6791,297.97,100,100,4.63,CX,1710073651
430,magadan,59.5667,150.8,265.67,91,100,4.53,RU,1710073651
431,aioun,16.6614,-9.6149,306.44,9,70,7.22,MR,1710073651
432,black mountain,35.6179,-82.3212,277.51,73,57,4.92,US,1710073651
433,znamenskoye,57.1281,73.8282,268.11,90,100,2.46,RU,1710073651
434,newman,37.3138,-121.0208,282.2,91,100,1.55,US,1710073603
435,weligama,5.9667,80.4167,300.97,63,5,2.02,LK,1710073651
436,ibshaway,29.358,30.6814,296.63,23,0,6.55,EG,1710073651
437,dryden,49.7833,-92.7503,263.31,73,20,1.54,CA,1710073651
438,lahad datu,5.0268,118.327,298.09,88,80,2.52,MY,1710073652
439,isangel,-19.55,169.2667,299.57,90,92,8.14,VU,1710073652
440,kittila,67.6647,24.8936,278.23,56,40,4.63,FI,1710073652
441,poronaysk,49.2167,143.1167,256.77,95,48,1.88,RU,1710073652
442,crane,31.3974,-102.3501,280.26,51,100,2.28,US,1710073652
